Result Log 
Problem Instance Path = ../problem1.txt 
Random Seed = 1508679493.306298 
Initialization = {'Uniform_Random': 1 }
Parent_Selection = {'Fitness_Proportional_Selection': 0,'k-Tournament_Selection_with_replacement': 0}
Survival_Selection = {'Truncation': 1, 'k-Tournament_Selection_without_replacement': 0}
Termination = {'Number_of_evals': 0, 'no_change_in_average_population_fitness_for_n_generations': 1, 'no_change_in_best_fitness_in_population_for_n_generations': 0}
Parameters used = {'fitness evaluations': 10000, 'number of runs': 30, 'problem solution location': 'solutions/prob1_EA_solution_a.txt', 'mutation_rate': 0.01, 'mu': 20, 'lambda': 10}

Run 1
178	11.52	45	0.58	6
179	11.49	45	0.58	6
180	11.46	45	0.58	6
181	11.43	45	0.59	6
182	11.41	45	0.59	6
183	11.39	45	0.59	6
184	11.38	45	0.59	6
185	11.37	45	0.59	6
186	11.37	45	0.60	6
187	11.36	45	0.60	6
188	11.36	45	0.61	6
189	11.34	45	0.61	6
190	11.33	45	0.62	6
191	11.32	45	0.62	6
192	11.30	45	0.62	6
193	11.30	45	0.62	6
